id,dataset,ts,time,order_type,order_side,price,qty
200,Ag(T+D)@sg,1522415532000,2018-03-30 21:12:12.000000,LIMIT,BID,3595.00005,10
201,Ag(T+D)@sg,1522415537000,2018-03-30 21:12:17.000000,LIMIT,BID,3596.00005,10
202,Ag(T+D)@sg,1522415545000,2018-03-30 21:12:25.000000,LIMIT,BID,3595.0,10
203,Ag(T+D)@sg,1522415555000,2018-03-30 21:12:35.000000,LIMIT,BID,3596.0,10
204,Ag(T+D)@sg,1522415565000,2018-03-30 21:12:45.000000,LIMIT,BID,3596.0,10
205,Ag(T+D)@sg,1522415575000,2018-03-30 21:12:55.000000,LIMIT,BID,3596.0,10
206,Ag(T+D)@sg,1522415585000,2018-03-30 21:13:05.000000,LIMIT,BID,3596.0,10
207,Ag(T+D)@sg,1522415595000,2018-03-30 21:13:15.000000,LIMIT,BID,3596.0,10
208,Ag(T+D)@sg,1522415605000,2018-03-30 21:13:25.000000,LIMIT,BID,3596.0,10
209,Ag(T+D)@sg,1522415611000,2018-03-30 21:13:31.000000,LIMIT,BID,3596.00005,10
210,Ag(T+D)@sg,1522415620000,2018-03-30 21:13:40.000000,LIMIT,BID,3595.0,10
211,Ag(T+D)@sg,1522415630000,2018-03-30 21:13:50.000000,LIMIT,BID,3596.0,10
212,Ag(T+D)@sg,1522415640000,2018-03-30 21:14:00.000000,LIMIT,ASK,3597.0,10
213,Ag(T+D)@sg,1522415650000,2018-03-30 21:14:10.000000,LIMIT,ASK,3597.0,10
214,Ag(T+D)@sg,1522415660000,2018-03-30 21:14:20.000000,LIMIT,ASK,3597.0,10
215,Ag(T+D)@sg,1522415670000,2018-03-30 21:14:30.000000,LIMIT,ASK,3597.0,10
216,Ag(T+D)@sg,1522415680000,2018-03-30 21:14:40.000000,LIMIT,ASK,3597.0,10
217,Ag(T+D)@sg,1522415688000,2018-03-30 21:14:48.000000,LIMIT,ASK,3596.99995,10
218,Ag(T+D)@sg,1522415695000,2018-03-30 21:14:55.000000,LIMIT,ASK,3598.0,10
219,Ag(T+D)@sg,1522415705000,2018-03-30 21:15:05.000000,LIMIT,BID,3596.0,10
220,Ag(T+D)@sg,1522415715000,2018-03-30 21:15:15.000000,LIMIT,BID,3595.0,10
221,Ag(T+D)@sg,1522415725000,2018-03-30 21:15:25.000000,LIMIT,BID,3596.0,10
222,Ag(T+D)@sg,1522415735000,2018-03-30 21:15:35.000000,LIMIT,BID,3596.0,10
223,Ag(T+D)@sg,1522415745000,2018-03-30 21:15:45.000000,LIMIT,BID,3596.0,10
224,Ag(T+D)@sg,1522415755000,2018-03-30 21:15:55.000000,LIMIT,ASK,3597.0,10
225,Ag(T+D)@sg,1522415765000,2018-03-30 21:16:05.000000,LIMIT,ASK,3597.0,10
226,Ag(T+D)@sg,1522415775000,2018-03-30 21:16:15.000000,LIMIT,ASK,3597.0,10
227,Ag(T+D)@sg,1522415785000,2018-03-30 21:16:25.000000,LIMIT,ASK,3597.0,10
228,Ag(T+D)@sg,1522415795000,2018-03-30 21:16:35.000000,LIMIT,ASK,3597.0,10
229,Ag(T+D)@sg,1522415805000,2018-03-30 21:16:45.000000,LIMIT,ASK,3597.0,10
230,Ag(T+D)@sg,1522415815000,2018-03-30 21:16:55.000000,LIMIT,ASK,3597.0,10
231,Ag(T+D)@sg,1522415825000,2018-03-30 21:17:05.000000,LIMIT,ASK,3597.0,10
232,Ag(T+D)@sg,1522415835000,2018-03-30 21:17:15.000000,LIMIT,ASK,3596.0,10
233,Ag(T+D)@sg,1522415850000,2018-03-30 21:17:30.000000,LIMIT,BID,3596.0,10
234,Ag(T+D)@sg,1522415860000,2018-03-30 21:17:40.000000,LIMIT,BID,3596.0,10
235,Ag(T+D)@sg,1522415875000,2018-03-30 21:17:55.000000,LIMIT,BID,3596.00005,10
236,Ag(T+D)@sg,1522415880000,2018-03-30 21:18:00.000000,LIMIT,BID,3595.0,10
237,Ag(T+D)@sg,1522415890000,2018-03-30 21:18:10.000000,LIMIT,ASK,3597.0,10
238,Ag(T+D)@sg,1522415900000,2018-03-30 21:18:20.000000,LIMIT,ASK,3596.0,10
239,Ag(T+D)@sg,1522415910000,2018-03-30 21:18:30.000000,LIMIT,ASK,3596.0,10
240,Ag(T+D)@sg,1522415920000,2018-03-30 21:18:40.000000,LIMIT,ASK,3596.0,10
241,Ag(T+D)@sg,1522415930000,2018-03-30 21:18:50.000000,LIMIT,ASK,3596.0,10
242,Ag(T+D)@sg,1522415940000,2018-03-30 21:19:00.000000,LIMIT,ASK,3596.0,10
243,Ag(T+D)@sg,1522415950000,2018-03-30 21:19:10.000000,LIMIT,ASK,3596.0,10
